lga_name_2016, lga_code_2016, p_y8b_tot, p_dngts_tot
"Greater Dandenong (C)","22670",11123,6422
"Greater Geelong (C)","22750",10578,1185
"Moonee Valley (C)","25060",5912,1384
"Moorabool (S)","25150",1228,71
"Moreland (C)","25250",10168,2533
"Mornington Peninsula (S)","25340",5640,468
"Strathfield (A)","17100",1104,482
"Sutherland Shire (A)","17150",4236,609
"Glen Eira (C)","22310",3838,708
"Glenelg (S)","22410",1320,48
"Mount Alexander (S)","25430",726,38
"Moyne (S)","25490",779,38
"Murrindindi (S)","25620",658,42
"Nillumbik (S)","25710",1093,120
"Northern Grampians (S)","25810",811,84
"Port Phillip (C)","25900",1982,426
"Pyrenees (S)","25990",451,13
"Queenscliffe (B)","26080",77,7
"South Gippsland (S)","26170",1447,63
"Southern Grampians (S)","26260",960,40
"Stonnington (C)","26350",1924,465
"Strathbogie (S)","26430",616,17
"Surf Coast (S)","26490",644,40
"Swan Hill (RC)","26610",1261,249
"Towong (S)","26670",346,7
"Wangaratta (RC)","26700",1501,77
"Warrnambool (C)","26730",1642,90
"Wellington (S)","26810",2199,125
"West Wimmera (S)","26890",251,8
"Whitehorse (C)","26980",5248,1580
"Whittlesea (C)","27070",11600,2869
"Wodonga (C)","27170",1499,172
"Wyndham (C)","27260",6615,1858
"Yarra (C)","27350",2350,954
"Yarra Ranges (S)","27450",4619,484
"Yarriambiack (S)","27630",528,26
"Unincorporated Vic","29399",13,3
"Aurukun (S)","30250",218,15
"Balonne (S)","30300",303,23
"Banana (S)","30370",1003,56
"Barcaldine (R)","30410",244,9
"Barcoo (S)","30450",35,3
"Blackall-Tambo (R)","30760",203,12
"Longreach (R)","34710",190,9
"Mackay (R)","34770",5388,253
"McKinlay (S)","34800",41,0
"Mapoon (S)","34830",31,0
"Maranoa (R)","34860",756,60
"Mareeba (S)","34880",1429,131
"Moreton Bay (R)","35010",15594,1056
"Mornington (S)","35250",85,16
"Mount Isa (C)","35300",607,77
"Murweh (S)","35600",350,27
"Napranum (S)","35670",65,3
"Noosa (S)","35740",1426,92
"North Burnett (R)","35760",1026,50
"Northern Peninsula Area (R)","35780",117,0
"Palm Island (S)","35790",211,9
"Paroo (S)","35800",138,22
"Pormpuraaw (S)","36070",83,21
"Quilpie (S)","36150",49,0
"Redland (C)","36250",5083,275
"Richmond (S)","36300",71,0
"Rockhampton (R)","36370",4680,301
"Scenic Rim (R)","36510",2231,81
"Somerset (R)","36580",1653,71
"South Burnett (R)","36630",2568,112
"Southern Downs (R)","36660",2394,108
"Sunshine Coast (R)","36720",9504,497
"Tablelands (R)","36820",1468,88
"Toowoomba (R)","36910",8507,585
"Torres (S)","36950",135,17
"Torres Strait Island (R)","36960",323,26
"Townsville (C)","37010",6345,557
"Gympie (R)","33620",3179,131
"Hinchinbrook (S)","33800",1060,54
"Hope Vale (S)","33830",80,3
"Boulia (S)","30900",36,0
"Brisbane (C)","31000",30209,5888
"Ipswich (C)","33960",7983,907
"Isaac (R)","33980",513,33
"Bulloo (S)","31750",29,4
"Bundaberg (R)","31820",6552,320
"Burdekin (S)","31900",1334,76
"Burke (S)","31950",29,3
"Cairns (R)","32080",4759,920
"Carpentaria (S)","32250",145,22
"Cassowary Coast (R)","32260",1908,165
"Central Highlands (R) (Qld)","32270",867,68
"Charters Towers (R)","32310",869,42
"Kowanyama (S)","34420",94,4
"Cherbourg (S)","32330",81,26
"Cloncurry (S)","32450",170,15
"Cook (S)","32500",189,22
"Croydon (S)","32600",10,3
"Livingstone (S)","34530",1739,64
"Lockhart River (S)","34570",48,10
"Lockyer Valley (R)","34580",2601,148
"Logan (C)","34590",11402,2509
"Weipa (T)","37300",53,17
"Western Downs (R)","37310",2076,97
"Whitsunday (R)","37340",1374,88
"Adelaide (C)","40070",253,71
"Adelaide Hills (DC)","40120",765,55
"Alexandrina (DC)","40220",965,38
"Diamantina (S)","32750",14,0
"Clare and Gilbert Valleys (DC)","41140",409,3
"Campbelltown (C) (SA)","40910",2958,554
"Ceduna (DC)","41010",180,9
"Charles Sturt (C)","41060",6523,1334
"Doomadgee (S)","32770",99,7
"Douglas (S)","32810",347,20
"Etheridge (S)","33100",79,11
"Flinders (S) (Qld)","33200",148,17
"Fraser Coast (R)","33220",6553,297
"Gladstone (R)","33360",2142,114
"Gold Coast (C)","33430",13347,1491
"Goondiwindi (R)","33610",654,29
"Winton (S)","37400",74,10
"Coober Pedy (DC)","41330",115,25
"Copper Coast (DC)","41560",931,24
"Elliston (DC)","41750",54,0
"Woorabinda (S)","37550",59,3
"Karoonda East Murray (DC)","43080",108,0
"Wujal Wujal (S)","37570",27,0
"Yarrabah (S)","37600",116,17
"Anangu Pitjantjatjara (AC)","40250",175,59
"Barossa (DC)","40310",1138,28
"Barunga West (DC)","40430",204,0
"Berri and Barmera (DC)","40520",767,80
"Naracoorte and Lucindale (DC)","45090",388,155
"Northern Areas (DC)","45120",257,7
"Burnside (C)","40700",807,117
"Cleve (DC)","41190",122,6
"Norwood Payneham St Peters (C)","45290",1551,280
"Onkaparinga (C)","45340",4633,313
"Flinders Ranges (DC)","41830",113,11
"Franklin Harbour (DC)","41960",91,0
