fid, lbr_frc_stat, p, sa4_code_2016, sa4_name_2016, state_name_abbr
4,"Not in the Labour Force",122300,"102","Central Coast","NSW"
8,"Not in the Labour Force",64600,"115","Sydney - Baulkham Hills and Hawkesbury","NSW"
12,"Not in the Labour Force",87000,"116","Sydney - Blacktown","NSW"
16,"Not in the Labour Force",81000,"117","Sydney - City and Inner South","NSW"
20,"Not in the Labour Force",68300,"118","Sydney - Eastern Suburbs","NSW"
24,"Not in the Labour Force",200600,"119","Sydney - Inner South West","NSW"
28,"Not in the Labour Force",82900,"120","Sydney - Inner West","NSW"
32,"Not in the Labour Force",119700,"121","Sydney - North Sydney and Hornsby","NSW"
36,"Not in the Labour Force",69400,"122","Sydney - Northern Beaches","NSW"
40,"Not in the Labour Force",73500,"123","Sydney - Outer South West","NSW"
44,"Not in the Labour Force",84900,"124","Sydney - Outer West and Blue Mountains","NSW"
48,"Not in the Labour Force",145700,"125","Sydney - Parramatta","NSW"
52,"Not in the Labour Force",54000,"126","Sydney - Ryde","NSW"
56,"Not in the Labour Force",157100,"127","Sydney - South West","NSW"
60,"Not in the Labour Force",53200,"128","Sydney - Sutherland","NSW"
64,"Not in the Labour Force",79700,"101","Capital Region","NSW"
68,"Not in the Labour Force",52700,"103","Central West","NSW"
72,"Not in the Labour Force",52200,"104","Coffs Harbour - Grafton","NSW"
76,"Not in the Labour Force",33800,"105","Far West and Orana","NSW"
80,"Not in the Labour Force",89300,"106","Hunter Valley exc Newcastle","NSW"
84,"Not in the Labour Force",94700,"107","Illawarra","NSW"
88,"Not in the Labour Force",97200,"108","Mid North Coast","NSW"
92,"Not in the Labour Force",37800,"109","Murray","NSW"
96,"Not in the Labour Force",55800,"110","New England and North West","NSW"
100,"Not in the Labour Force",113300,"111","Newcastle and Lake Macquarie","NSW"
104,"Not in the Labour Force",80400,"112","Richmond - Tweed","NSW"
108,"Not in the Labour Force",43300,"113","Riverina","NSW"
112,"Not in the Labour Force",55200,"114","Southern Highlands and Shoalhaven","NSW"
116,"Not in the Labour Force",164400,"206","Melbourne - Inner","VIC"
120,"Not in the Labour Force",107700,"207","Melbourne - Inner East","VIC"
124,"Not in the Labour Force",123200,"208","Melbourne - Inner South","VIC"
128,"Not in the Labour Force",152100,"209","Melbourne - North East","VIC"
132,"Not in the Labour Force",127200,"210","Melbourne - North West","VIC"
136,"Not in the Labour Force",153200,"211","Melbourne - Outer East","VIC"
140,"Not in the Labour Force",226400,"212","Melbourne - South East","VIC"
144,"Not in the Labour Force",212500,"213","Melbourne - West","VIC"
148,"Not in the Labour Force",94000,"214","Mornington Peninsula","VIC"
152,"Not in the Labour Force",52100,"201","Ballarat","VIC"
156,"Not in the Labour Force",46400,"202","Bendigo","VIC"
160,"Not in the Labour Force",86000,"203","Geelong","VIC"
164,"Not in the Labour Force",47800,"204","Hume","VIC"
168,"Not in the Labour Force",103700,"205","Latrobe - Gippsland","VIC"
172,"Not in the Labour Force",50400,"215","North West","VIC"
176,"Not in the Labour Force",46600,"216","Shepparton","VIC"
180,"Not in the Labour Force",35000,"217","Warrnambool and South West","VIC"
184,"Not in the Labour Force",63700,"301","Brisbane - East","QLD"
188,"Not in the Labour Force",50000,"302","Brisbane - North","QLD"
192,"Not in the Labour Force",96900,"303","Brisbane - South","QLD"
196,"Not in the Labour Force",49700,"304","Brisbane - West","QLD"
200,"Not in the Labour Force",56200,"305","Brisbane Inner City","QLD"
204,"Not in the Labour Force",92700,"310","Ipswich","QLD"
208,"Not in the Labour Force",98900,"311","Logan - Beaudesert","QLD"
212,"Not in the Labour Force",100100,"313","Moreton Bay - North","QLD"
216,"Not in the Labour Force",51500,"314","Moreton Bay - South","QLD"
