fid, lbr_frc_stat, p, sa4_code_2016, sa4_name_2016, state_name_abbr
220,"Not in the Labour Force",68500,"306","Cairns","QLD"
224,"Not in the Labour Force",32300,"307","Darling Downs - Maranoa","QLD"
228,"Not in the Labour Force",55600,"308","Central Queensland","QLD"
232,"Not in the Labour Force",157100,"309","Gold Coast","QLD"
236,"Not in the Labour Force",39700,"312","Mackay - Isaac - Whitsunday","QLD"
240,"Not in the Labour Force",20300,"315","Queensland - Outback","QLD"
244,"Not in the Labour Force",134900,"316","Sunshine Coast","QLD"
248,"Not in the Labour Force",53400,"317","Toowoomba","QLD"
252,"Not in the Labour Force",63400,"318","Townsville","QLD"
256,"Not in the Labour Force",127300,"319","Wide Bay","QLD"
260,"Not in the Labour Force",90000,"401","Adelaide - Central and Hills","SA"
264,"Not in the Labour Force",135700,"402","Adelaide - North","SA"
268,"Not in the Labour Force",110700,"403","Adelaide - South","SA"
272,"Not in the Labour Force",74500,"404","Adelaide - West","SA"
276,"Not in the Labour Force",38100,"405","Barossa - Yorke - Mid North","SA"
280,"Not in the Labour Force",22000,"406","South Australia - Outback","SA"
284,"Not in the Labour Force",70800,"407","South Australia - South East","SA"
288,"Not in the Labour Force",43800,"502","Mandurah","WA"
292,"Not in the Labour Force",47600,"503","Perth - Inner","WA"
296,"Not in the Labour Force",72900,"504","Perth - North East","WA"
300,"Not in the Labour Force",142400,"505","Perth - North West","WA"
304,"Not in the Labour Force",127200,"506","Perth - South East","WA"
308,"Not in the Labour Force",108300,"507","Perth - South West","WA"
312,"Not in the Labour Force",52300,"501","Bunbury","WA"
316,"Not in the Labour Force",42200,"509","Western Australia - Wheat Belt","WA"
320,"Not in the Labour Force",70000,"601","Hobart","TAS"
324,"Not in the Labour Force",46800,"602","Launceston and North East","TAS"
328,"Not in the Labour Force",15100,"603","South East","TAS"
332,"Not in the Labour Force",41500,"604","West and North West","TAS"
336,"Not in the Labour Force",28300,"701","Darwin","NT"
340,"Not in the Labour Force",24900,"702","Northern Territory - Outback","NT"
