fid, lbr_frc_stat, p, sa4_code_2016, sa4_name_2016, state_name_abbr
1,"Employed Full-Time",100200,"102","Central Coast","NSW"
5,"Employed Full-Time",97500,"115","Sydney - Baulkham Hills and Hawkesbury","NSW"
9,"Employed Full-Time",152200,"116","Sydney - Blacktown","NSW"
13,"Employed Full-Time",180800,"117","Sydney - City and Inner South","NSW"
17,"Employed Full-Time",131000,"118","Sydney - Eastern Suburbs","NSW"
21,"Employed Full-Time",205700,"119","Sydney - Inner South West","NSW"
25,"Employed Full-Time",133800,"120","Sydney - Inner West","NSW"
29,"Employed Full-Time",164400,"121","Sydney - North Sydney and Hornsby","NSW"
33,"Employed Full-Time",101300,"122","Sydney - Northern Beaches","NSW"
37,"Employed Full-Time",112900,"123","Sydney - Outer South West","NSW"
41,"Employed Full-Time",125100,"124","Sydney - Outer West and Blue Mountains","NSW"
45,"Employed Full-Time",175900,"125","Sydney - Parramatta","NSW"
49,"Employed Full-Time",82600,"126","Sydney - Ryde","NSW"
53,"Employed Full-Time",136400,"127","Sydney - South West","NSW"
57,"Employed Full-Time",93600,"128","Sydney - Sutherland","NSW"
61,"Employed Full-Time",72100,"101","Capital Region","NSW"
65,"Employed Full-Time",80800,"103","Central West","NSW"
69,"Employed Full-Time",37500,"104","Coffs Harbour - Grafton","NSW"
73,"Employed Full-Time",40800,"105","Far West and Orana","NSW"
77,"Employed Full-Time",91300,"106","Hunter Valley exc Newcastle","NSW"
81,"Employed Full-Time",103100,"107","Illawarra","NSW"
85,"Employed Full-Time",50000,"108","Mid North Coast","NSW"
89,"Employed Full-Time",41800,"109","Murray","NSW"
93,"Employed Full-Time",60600,"110","New England and North West","NSW"
97,"Employed Full-Time",126200,"111","Newcastle and Lake Macquarie","NSW"
101,"Employed Full-Time",76200,"112","Richmond - Tweed","NSW"
105,"Employed Full-Time",58000,"113","Riverina","NSW"
109,"Employed Full-Time",43700,"114","Southern Highlands and Shoalhaven","NSW"
113,"Employed Full-Time",328400,"206","Melbourne - Inner","VIC"
117,"Employed Full-Time",139500,"207","Melbourne - Inner East","VIC"
121,"Employed Full-Time",157400,"208","Melbourne - Inner South","VIC"
125,"Employed Full-Time",198300,"209","Melbourne - North East","VIC"
129,"Employed Full-Time",130400,"210","Melbourne - North West","VIC"
133,"Employed Full-Time",178800,"211","Melbourne - Outer East","VIC"
137,"Employed Full-Time",316100,"212","Melbourne - South East","VIC"
141,"Employed Full-Time",314400,"213","Melbourne - West","VIC"
145,"Employed Full-Time",99800,"214","Mornington Peninsula","VIC"
149,"Employed Full-Time",53900,"201","Ballarat","VIC"
153,"Employed Full-Time",52700,"202","Bendigo","VIC"
157,"Employed Full-Time",104100,"203","Geelong","VIC"
161,"Employed Full-Time",61200,"204","Hume","VIC"
165,"Employed Full-Time",71600,"205","Latrobe - Gippsland","VIC"
169,"Employed Full-Time",47000,"215","North West","VIC"
173,"Employed Full-Time",38700,"216","Shepparton","VIC"
177,"Employed Full-Time",41000,"217","Warrnambool and South West","VIC"
181,"Employed Full-Time",93600,"301","Brisbane - East","QLD"
185,"Employed Full-Time",91300,"302","Brisbane - North","QLD"
189,"Employed Full-Time",132500,"303","Brisbane - South","QLD"
193,"Employed Full-Time",71000,"304","Brisbane - West","QLD"
197,"Employed Full-Time",141500,"305","Brisbane Inner City","QLD"
201,"Employed Full-Time",129900,"310","Ipswich","QLD"
205,"Employed Full-Time",115300,"311","Logan - Beaudesert","QLD"
209,"Employed Full-Time",75100,"313","Moreton Bay - North","QLD"
213,"Employed Full-Time",78300,"314","Moreton Bay - South","QLD"
217,"Employed Full-Time",90500,"306","Cairns","QLD"
221,"Employed Full-Time",44400,"307","Darling Downs - Maranoa","QLD"
225,"Employed Full-Time",78500,"308","Central Queensland","QLD"
229,"Employed Full-Time",235100,"309","Gold Coast","QLD"
233,"Employed Full-Time",72700,"312","Mackay - Isaac - Whitsunday","QLD"
237,"Employed Full-Time",31900,"315","Queensland - Outback","QLD"
241,"Employed Full-Time",115800,"316","Sunshine Coast","QLD"
245,"Employed Full-Time",49800,"317","Toowoomba","QLD"
249,"Employed Full-Time",80100,"318","Townsville","QLD"
253,"Employed Full-Time",75900,"319","Wide Bay","QLD"
257,"Employed Full-Time",106000,"401","Adelaide - Central and Hills","SA"
261,"Employed Full-Time",136400,"402","Adelaide - North","SA"
265,"Employed Full-Time",119400,"403","Adelaide - South","SA"
269,"Employed Full-Time",82600,"404","Adelaide - West","SA"
273,"Employed Full-Time",34400,"405","Barossa - Yorke - Mid North","SA"
277,"Employed Full-Time",28100,"406","South Australia - Outback","SA"
281,"Employed Full-Time",56900,"407","South Australia - South East","SA"
285,"Employed Full-Time",25200,"502","Mandurah","WA"
289,"Employed Full-Time",72300,"503","Perth - Inner","WA"
293,"Employed Full-Time",96100,"504","Perth - North East","WA"
297,"Employed Full-Time",208500,"505","Perth - North West","WA"
301,"Employed Full-Time",191300,"506","Perth - South East","WA"
305,"Employed Full-Time",154400,"507","Perth - South West","WA"
309,"Employed Full-Time",60800,"501","Bunbury","WA"
313,"Employed Full-Time",44600,"509","Western Australia - Wheat Belt","WA"
317,"Employed Full-Time",73700,"601","Hobart","TAS"
321,"Employed Full-Time",45600,"602","Launceston and North East","TAS"
325,"Employed Full-Time",11300,"603","South East","TAS"
329,"Employed Full-Time",31300,"604","West and North West","TAS"
333,"Employed Full-Time",63300,"701","Darwin","NT"
337,"Employed Full-Time",36000,"702","Northern Territory - Outback","NT"
